bookID,title,authors,average_rating,publication_date,publisher,available
3584,Othello,William Shakespeare/David Threlfall/Don Warrington/Anne-Marie Duff/Arkangel Cast,3.89,9/15/2005,Audio Partners,1
3585,Othello,William Shakespeare/Barbara A. Mowat/Paul Werstine,3.89,8/1/2004,Simon  Schuster,1
3586,Julius Caesar,William Shakespeare/Roma Gill,3.68,10/17/2002,Oxford University Press  USA,1
3587,Julius Caesar,William Shakespeare/John   Bowe/Michael Feast/Adrian Lester,3.68,6/1/2005,Audio Partners,1
3588,Julius Caesar,William Shakespeare/Marvin Spevack/Marga Munkelt,3.68,5/24/2004,Cambridge University Press,1
3589,Julius Caesar,William Shakespeare/SparkNotes,3.68,7/3/2003,SparkNotes,1
3590,Cliffsnotes on Shakespeare's Henry IV  Part 1,James K. Lowers/William Shakespeare/CliffsNotes,3.88,6/15/1960,Cliffs Notes,1
3591,King Henry IV  Part 1,William Shakespeare/David Scott Kastan,3.83,11/7/2002,Bloomsbury Arden Shakespeare,1
3592,Alice in Wonderland,Lewis Carroll/Jane Carruth/Rene Cloke,4.03,9/7/2004,Gramercy Books,1
3593,Alice In Wonderland,Lewis Carroll/John Tenniel,4.02,9/1/2001,Scholastic Paperbacks,1
3594,The Alexandria Quartet  (The Alexandria Quartet #1-4),Lawrence Durrell,4.17,12/1/1991,Penguin Books,1
3595,Justine (The Alexandria Quartet #1),Lawrence Durrell,3.89,7/12/1991,Penguin Books,1
3596,Clea (The Alexandria Quartet #4),Lawrence Durrell,4.18,7/12/1991,Penguin Books,1
3597,Siddhartha,Hermann Hesse,4.02,2/2/1993,Turtleback Books,1
3598,Kate Vaiden,Reynolds Price,3.91,5/29/1998,Scribner,1
3599,The Social Contract and The First and Second Discourses,Jean-Jacques Rousseau/Susan Dunn/Gita May/Robert N. Bellah/David Bromwich/Conor           Cruise O'Brien,3.83,2/8/2002,Yale University Press,1
3600,Nature Girl,Carl Hiaasen,3.63,11/14/2006,Alfred A. Knopf,1
3601,Stormy Weather,Carl Hiaasen,3.95,3/1/2001,Grand Central Publishing,1
3602,Skin Tight (Mick Stranahan  #1),Carl Hiaasen,3.96,4/12/2005,Warner Books (NY),1
3603,Basket Case,Carl Hiaasen,3.82,2/1/2005,Grand Central Publishing,1
3604,Tourist Season,Carl Hiaasen,3.94,5/9/2005,Warner Books (NY),1
3605,Sick Puppy,Carl Hiaasen,3.89,4/12/2005,Grand Central Publishing,1
3606,Flush,Carl Hiaasen,3.88,9/13/2005,Alfred A. Knopf Books for Young Readers,1
3607,Double Whammy (Skink #1),Carl Hiaasen,3.93,3/1/2005,Grand Central Publishing,1
3608,Naked Came the Manatee,Carl Hiaasen/Elmore Leonard/Dave Barry/James W. Hall/Edna Buchanan/Les Standiford/Paul Levine/Brian Antoni/Tananarive Due/John Dufresne/Vicki Hendricks/Carolina Hospital/Evelyn Mayerson,3.48,1/20/1998,Ballantine Books,1
3609,Strip Tease,Carl Hiaasen,3.84,3/1/2005,Grand Central Publishing,1
3610,Basket Case,Carl Hiaasen,3.82,1/1/2003,Grand Central Publishing,1
3611,A Carl Hiaasen Collection: Stormy Weather  Tourist Season  and  Strip Tease,Carl Hiaasen/Edward Asner,4.45,1/4/2000,Random House Audio,1
3612,Skinny Dip (Mick Stranahan #2),Carl Hiaasen,3.81,5/1/2006,Grand Central Publishing,1
3613,Hoot,Carl Hiaasen,3.82,3/14/2006,Yearling Books,1
3614,Suburban Nation: The Rise of Sprawl and the Decline of the American Dream,Andrés Duany/Elizabeth Plater-Zyberk/Jeff Speck,4.08,4/16/2001,North Point Press,1
3615,The Bible Cure For Diabetes,Don Colbert,3.84,8/19/1999,Siloam,1
3616,The Celestine Prophecy: A Pocket Guide to the Nine Insights,James Redfield,3.87,12/2/2005,Warner Books (NY),1
3617,The Tenth Insight: Holding the Vision (Celestine Prophecy  #2),James Redfield,3.64,12/1/1998,Grand Central Publishing,1
3618,The Celestine Prophecy,James Redfield/Lou Diamond Phillips,3.64,2/16/2006,Grand Central Publishing,1
3619,The Celestine Prophecy: An Experiential Guide,James Redfield,3.84,7/6/1995,Bantam,1
3620,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,6/1/1979,Quill,1
3621,The Dark Side Of Genius: The Life Of Alfred Hitchcock,Donald Spoto,3.83,8/30/1999,Da Capo Press,1
3622,Enchantment: The Life of Audrey Hepburn,Donald Spoto,3.87,4/2/2007,Harmony,1
3623,Marilyn Monroe: The Biography,Donald Spoto,4.03,7/17/2001,Cooper Square Publishers,1
3624,Cross (Alex Cross  #12),James Patterson,4,11/13/2006,Little Brown and Company,1
3625,Judge & Jury,James Patterson/Andrew Gross,4,7/31/2006,Little  Brown and Company,1
3626,The 6th Target (Women's Murder Club  #6),James Patterson/Maxine Paetro,4.04,5/8/2007,Little Brown and Company,1
3627,The Quickie,James Patterson/Michael Ledwidge,3.83,7/2/2007,Little  Brown and Company,1
3628,You've Been Warned,James Patterson/Howard Roughan,3.53,9/10/2007,Little Brown and Company,1
3629,2nd Chance (Women's Murder Club  #2),James Patterson/Andrew Gross,4.04,5/20/2005,Grand Central Publishing,1
3630,1st to Die (Women's Murder Club  #1),James Patterson,4.08,5/20/2005,Grand Central Publishing,1
3631,Season of the Machete,James Patterson,3.25,4/1/1995,Vision,1
3632,School's Out—Forever (Maximum Ride  #2),James Patterson,4.15,5/23/2006,Little  Brown and Company,1
3633,Jack & Jill (Alex Cross  #3),James Patterson,3.96,8/1/2003,Grand Central Publishing,1
3634,The Midnight Club,James Patterson,3.82,6/1/1999,Vision,1
3635,Cat & Mouse (Alex Cross #4),James Patterson,3.98,8/1/2003,Grand Central Publishing,1
3636,Pop Goes the Weasel (Alex Cross  #5),James Patterson,4,10/1/2000,TIme Warner Books,1
3637,Roses Are Red (Alex Cross  #6),James Patterson,4.04,6/25/2001,Headline,1
3638,Along Came a Spider (Alex Cross  #1),James Patterson,4.11,8/1/2003,Grand Central Publishing,1
3639,Black Friday,James Patterson,3.68,4/1/2000,Vision,1
3640,Honeymoon (Honeymoon  #1),James Patterson/Howard Roughan,3.83,1/1/2007,Grand Central Publishing,1
3641,Kiss the Girls (Alex Cross  #2),James Patterson,3.96,7/1/2000,Grand Central Publishing,1
3642,The Thomas Berryman Number,James Patterson,2.86,4/1/1996,Grand Central Publishing,1
3643,London Bridges (Alex Cross  #10),James Patterson,3.94,10/1/2005,Vision,1
3644,The Angel Experiment (Maximum Ride  #1),James Patterson,4.08,5/5/2006,Grand Central Publishing,1
3645,3rd Degree (Women's Murder Club  #3),James Patterson/Andrew Gross,4.02,5/20/2005,Grand Central Publishing,1
3646,The Jester,James Patterson/Andrew Gross,3.8,3/1/2004,Headline,1
3647,See How They Run,James Patterson,3.84,7/8/1997,Doubleday Books,1
3648,Miracle on the 17th Green (Travis McKinley  #1),James Patterson/Peter de Jonge,3.68,5/5/1999,Little Brown and Company,1
3649,When the Wind Blows (When the Wind Blows  #1),James Patterson,3.93,4/1/2000,Grand Central Publishing,1
3650,SantaKid,James Patterson/Michael Garland,3.88,11/1/2004,Jimmy Patterson,1
3651,A Little Prairie House,Laura Ingalls Wilder/Renée Graef,4.19,3/21/1999,HarperCollins,1
3652,Private Parts,Howard Stern,3.77,3/1/1997,Pocket Books,1
3653,The Private Parts of Women,Lesley Glaister,3.8,9/1/2002,Bloomsbury Publishing PLC,1
3654,Green Arrow  Vol. 1: Quiver,Kevin Smith/Phil Hester/Ande Parks,4.07,12/16/2008,DC Comics,1
3655,Quiver,Stephanie Spinner,3.51,4/12/2005,Laurel-Leaf Books,1
3656,A Quiver Full of Arrows,Jeffrey Archer,3.78,8/30/2005,St. Martin's Paperbacks,1
3657,Celebrations: Rituals of Peace and Prayer,Maya Angelou,4.13,10/24/2006,Random House,1
3658,The Collected Autobiographies of Maya Angelou,Maya Angelou,4.63,9/21/2004,Modern Library,1
3659,Wouldn't Take Nothing for My Journey Now,Maya Angelou,4.27,5/12/1997,Bantam,1
3660,And Still I Rise,Maya Angelou/Linda Sunshine/Diego Rivera,4.42,8/7/2001,Random House,1
3661,Life Doesn't Frighten Me,Maya Angelou/Jean-Michel Basquiat/Sara Jane Boyers,4.41,2/6/1996,Harry N. Abrams,1
3662,Cumbres borrascosas,Emily Brontë,3.85,5/28/2006,Edimat Libros,1
3663,Dreaming in Pictures: The Photography,Lewis Carroll/Douglas R. Nickel,4.01,8/11/2002,Yale University Press,1
3664,Lewis Carroll's Jabberwocky: A Book of Brillig Dioramas,Lewis Carroll/Graeme Base,4.14,3/30/1996,Harry N. Abrams,1
3665,The Collected Short Stories of Maxim Gorky,Maxim Gorky/Avrahm Yarmolinsky/Moura Budberg,3.96,8/18/1988,Citadel Press,1
3666,Name Dropping,Jane Heller,3.52,3/15/2001,St. Martin's Press,1
3667,Many Luscious Lollipops: A Book About Adjectives,Ruth Heller,4.06,2/23/1998,Puffin Books,1
3668,What Was She Thinking? [Notes on a Scandal],Zoë Heller,3.71,6/1/2004,Picador,1
3669,Night of Long Shadows (Eberron: Inquisitives  #2),Paul Crilley,3.65,5/8/2007,Wizards of the Coast,1
3670,Poetics,Aristotle/Malcolm Heath,3.82,9/26/1996,Penguin Classics,1
3671,Poetics of Music in the Form of Six Lessons,Igor Stravinsky/George Seferis/Arthur Knodel/Ingolf Dahl,4.11,2/26/1970,Harvard University Press,1
3672,An Introduction to the Old Testament Poetic Books,C. Hassell Bullock,3.68,8/8/1988,Moody Publishers (Chicago),1
3673,Mondrian,John Milner/Piet Mondrian,3.73,4/1/1995,Phaidon Press,1
3674,Writings on Art,Mark Rothko/Miguel López-Remiro,3.84,4/28/2006,Yale University Press,1
3675,The Legacy of Mark Rothko,Lee Seldes,3.87,8/22/1996,Da Capo Press,1
3676,Mark Rothko,Diane Waldman/Bernard Malamud,4.04,9/1/1978,Harry N. Abrams,1
3677,Mark Rothko  1903 1970,Diane Waldman,4.04,5/14/2001,Thames & Hudson Ltd,1
3678,A World of Art,Henry M. Sayre,3.73,12/22/2006,Prentice Hall,1
3679,Olympian Odes. Pythian Odes,Pindar/William H. Race,4.09,4/15/1997,Harvard University Press,1
3680,The Odes,Pindar/Cecil Maurice Bowra/Daniel C. Snell/Dawson William Turner/Maehler/Abraham Moore,3.89,9/30/1982,Penguin Books,1
3681,The Odes and Selected Fragments,Pindar/G.S. Conway/Richard Stoneman,3.89,3/1/1998,Everyman's Library,1
3682,Nemean Odes. Isthmian Odes. Fragments,Pindar/William H. Race,4.19,4/15/1997,Harvard University Press,1
3683,Sabriel (Abhorsen  #1),Garth Nix,4.17,8/17/2004,Eos,1
3684,Euripides 3: Alcestis/Daughters of Troy/The Phoenician Women/Iphigenia at Aulis/Rhesus,Euripides/David R. Slavitt/Smith Palmer Bovie/Fred Chappell/Mark Rudman/Elaine Terranova/Richard Elman/Katharine Washburn/George D. Economou,3.88,6/1/1998,University of Pennsylvania Press,1
3685,Eragon: Prima Official Game Guide,Prima Publishing,3.98,11/14/2006,Prima Games,1
3686,Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,4.34,10/1/2002,FaithWords,1
3687,A Lady At Last (deWarenne Dynasty  #7),Brenda Joyce,4.06,11/21/2006,Hqn,1
3688,James Joyce's Ulysses,Stuart Gilbert,4.17,1/12/1955,Vintage,1
3689,A Complicated Kindness,Miriam Toews,3.65,8/17/2005,Counterpoint LLC,1
3690,A Complicated Kindness (Bookclub-In-A-Box),Marilyn Herbert/Miriam Toews,4,8/30/2006,Bookclub-In-A-Box,1
3691,Race of Scorpions (The House of Niccolo  #3),Dorothy Dunnett,4.42,5/5/1990,Knopf,1
3692,Vinyl Cafe Odd Jobs,Stuart McLean,4.56,6/15/2005,Canadian Broadcasting Corporation (CBC Audio),1
3693,Vinyl Cafe Coast to Coast Story Service,Stuart McLean,4.45,7/15/2005,Canadian Broadcasting Corporation (CBC Audio),1
3694,Vinyl Cafe Diaries (Vinyl Cafe  #4),Stuart McLean,4.19,11/28/2003,Penguin Books Canada,1
3695,Checkmate (Tom Clancy's Splinter Cell  #3),David  Michaels/Tom Clancy,3.94,11/7/2006,Berkley,1
3696,Operation Barracuda (Tom Clancy's Splinter Cell  #2),David  Michaels/Raymond Benson/Tom Clancy,4.02,11/1/2005,Berkley,1
3697,Splinter Cell (Tom Clancy's Splinter Cell  #1),David  Michaels/Raymond Benson/Tom Clancy,3.85,12/6/2004,Berkley,1
3698,Dark Visions,Douglas E. Winter/Dan Simmons/Stephen King/George R.R. Martin,3.89,8/10/2000,Indigo,1
3699,Ancilla to the Pre-Socratic Philosophers,Kathleen Banks Freeman/Hermann Alexander Diels,4.25,8/8/2003,Harvard University Press (Cambridge),1
3700,The Presocratics,Philip Ellis Wheelwright,4.04,1/11/1966,Prentice Hall/Library of Liberal Arts,1
3701,The Presocratic Philosophers,Geoffrey S. Kirk/John Earle Raven/Malcolm Schofield,4.25,12/29/1983,Cambridge University Press,1
3702,Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,3.58,9/16/2004,Oxford University Press  USA,1
3703,The Presocratic Philosophers,Jonathan Barnes/Ted Honderich,4.14,9/16/1982,Routledge,1
3704,The First Philosophers: The Presocratics and Sophists,Robin Waterfield/Anaximander/Anaximenes/Empedocles/Gorgias of Leontini/Heraclitus/Parmenides/Protagoras/Pythagoras/Thales/Thrasymachus/Zeno of Elea,3.95,11/30/2000,Oxford University Press,1
3705,Skeleton Crew,Stephen King,3.96,5/13/1993,Warner Books,1
3706,Night Shift,Stephen King,4,10/1/1993,Doubleday Books,1
3707,The Talisman,Stephen King/Peter Straub,4.13,11/8/1984,Viking; G. P. Putnam & Sons,1
3708,El retrato de Rose Madder,Stephen King/Bettina Blanch Tyroller,3.7,10/3/2006,Debolsillo,1
3709,The Dark Half,Stephen King,3.77,11/1/1989,Viking Books,1
3710,La Milla Verde,Stephen King/María Eugenia Ciocchini Suárez,4.44,3/26/2002,Fireside Books,1
3711,Storm of the Century,Stephen King,3.92,2/1/1999,Pocket,1
3712,Girls Think of Everything: Stories of Ingenious Inventions by Women,Catherine Thimmesh/Melissa Sweet,4.15,3/11/2002,HMH Books for Young Readers,1
3713,How Dogs Think: What the World Looks Like to Them and Why They Act the Way They Do,Stanley Coren,3.99,6/6/2005,Atria Books,1
3714,The How to Think Like Leonardo da Vinci Workbook: Your Personal Companion to How to Think Like Leonardo da Vinci,Michael J. Gelb,3.85,6/15/1999,Dell,1
3715,Brit-Think  Ameri-Think: A Transatlantic Survival Guide,Jane Walmsley,3.26,2/25/2003,Penguin Books,1
3716,What You Think of Me Is None of My Business,Terry Cole-Whittaker,4.1,4/1/1988,Berkley Books,1
3717,Think on These Things,Jiddu Krishnamurti/D. Rajagopal,4.36,10/11/1989,HarperOne,1
3718,Think Like a Cat: How to Raise a Well-Adjusted Cat—Not a Sour Puss,Pam Johnson-Bennett,4.06,1/24/2000,Penguin Books,1
3719,Think Like a Guy: How to Get a Guy by Thinking Like One,Giuliana DePandi,3.15,6/27/2006,St. Martin's Griffin,1
3720,How to Think Theologically,Howard W. Stone/James O. Duke,3.67,1/1/2006,Fortress Press,1
3721,JoJo's Bizarre Adventure  Vol. 6 (Stardust Crusaders  #6),Hirohiko Araki,4.36,12/5/2006,VIZ Media,1
3722,JoJo's Bizarre Adventure  Vol. 4 (Stardust Crusaders  #4),Hirohiko Araki,4.45,6/6/2006,VIZ Media,1
3723,JoJo's Bizarre Adventure  Vol. 5 (Stardust Crusaders  #5),Hirohiko Araki,4.41,9/5/2006,VIZ Media,1
3724,JoJo's Bizarre Adventure  Vol. 7 (Stardust Crusaders  #7),Hirohiko Araki,4.42,4/3/2007,VIZ Media,1
3725,Jojo's Bizarre Adventure  Tome 4: Dans la salle du dragon à deux têtes (Phantom Blood  #4),Hirohiko Araki,3.97,4/29/2002,J'ai Lu,1
3726,JoJo's Bizarre Adventure  Vol. 8 (Stardust Crusaders  #8),Hirohiko Araki,4.46,8/7/2007,VIZ Media,1
3727,Jojo's Bizarre Adventure  Tome 17: L'Amoureux terrible (Stardust Crusaders  #5),Hirohiko Araki/Hirohiko Araki,4.41,5/23/2003,J'ai lu,1
3728,Jojo's Bizarre Adventure  Tome 6: Jojo contre la forme de vie ultime (Battle Tendency  #1),Hirohiko Araki,4.18,6/26/2002,J'ai lu,1
3729,Fevre Dream,George R.R. Martin,3.86,1/1/1982,Poseidon Press,1
3730,The Hedge Knight (The Tales of Dunk and Egg  #1),Ben Avery/Mike S. Miller/George R.R. Martin/Mike Crowell,4.14,2/23/2005,Dabel Brothers Publishing,1
3731,A Clash of Kings (A Song of Ice and Fire  #2),George R.R. Martin/Roy Dotrice,4.41,2/17/2004,Random House Audio,1
3732,Tuf Voyaging,George R.R. Martin,4.1,11/10/2004,Meisha Merlin Publishing,1
3733,Jack of Kinrowan: Jack the Giant-Killer / Drink Down the Moon,Charles de Lint,4.12,9/5/2000,St. Martins Press,1
3734,Lies My Teacher Told Me: Everything Your History Textbook Got Wrong,James W. Loewen,3.96,8/4/1995,The New Press,1
3735,Lies My Teacher Told Me about Christopher Columbus: What Your History Books Got Wrong,James W. Loewen,4,10/1/2006,New Press,1
3736,C.G. Jung and Hermann Hesse: A Book of Two Friendships,Miguel Serrano,4.02,1/1/1997,Daimon Verlag,1
3737,The Journey to the East,Hermann Hesse/Hilda Rosner,3.7,2/1/2003,Picador,1
3738,Son of a Witch (The Wicked Years  #2),Gregory Maguire/Douglas Smith/Jelena Bojić,3.47,9/26/2006,William Morrow Paperbacks,1
3739,March,Geraldine Brooks,3.75,1/31/2006,Penguin,1
3740,Foreign Correspondence: A Pen Pal's Journey from Down Under to All Over,Geraldine Brooks,3.85,1/19/1999,Anchor Books,1
3741,Jojo's Bizarre Adventure  Tome 1: Dio  L'envahisseur (Phantom Blood  #1),Hirohiko Araki,3.88,1/28/2002,J'ai Lu,1
3742,Jojo's Bizarre Adventure  Tome 19: La Lampe Magique (Stardust Crusaders  #7),Hirohiko Araki/Hirohiko Araki,4.42,7/15/2003,J'ai Lu,1
3743,Jojo's Bizarre Adventure  Tome 14: Le Navire désert et le Singe (Stardust Crusaders  #2),Hirohiko Araki/Hirohiko Araki,4.41,2/25/2003,J'ai lu,1
3744,Jojo's Bizarre Adventure  Tome 13: Le Maléfice de Dio (Stardust Crusaders  #1),Hirohiko Araki/Hirohiko Araki,4.31,1/28/2003,J'ai lu,1
3745,Jojo's Bizarre Adventure  Tome 5: La dernière onde (Phantom Blood  #5),Hirohiko Araki,4.1,5/23/2002,J'ai lu,1
3746,Jojo's Bizarre Adventure  Tome 9: Ruée vers la falaise de la mort! (Battle Tendency  #4),Hirohiko Araki,4.27,9/27/2002,J'ai Lu,1
3747,Jojo's Bizarre Adventure  Tome 18: Death Thirteen (Stardust Crusaders  #6),Hirohiko Araki/Hirohiko Araki,4.36,6/27/2003,J'ai Lu,1
3748,Jojo's Bizarre Adventure  Tome 11: Le guerrier qui retourne au vent (Battle Tendency  #6),Hirohiko Araki,4.39,11/26/2002,J'ai Lu,1
3749,Jojo's Bizarre Adventure  Tome 16: L'Expérience du combat ! (Stardust Crusaders  #4),Hirohiko Araki/Hirohiko Araki,4.45,4/29/2003,J'ai lu,1
3750,Jojo's Bizarre Adventure  Tome 14: Le revolver est plus fort que l'épée (Stardust Crusaders  #3),Hirohiko Araki/Hirohiko Araki,4.44,3/25/2003,J'ai Lu,1
3751,From Far Away  Vol. 12,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.43,9/12/2006,VIZ Media,1
3752,From Far Away  Vol. 13,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.48,11/14/2006,VIZ Media,1
3753,From Far Away  Vol. 14,Kyoko Hikawa/Yuko Sawada/Freeman Wong,4.5,1/9/2007,VIZ Media,1
3754,Very Far Away from Anywhere Else,Ursula K. Le Guin,3.91,10/1/2004,HMH Books for Young Readers,1
3755,Vagabond  Volume 20,Takehiko Inoue,4.41,3/15/2005,VIZ Media LLC,1
3756,彼方から 13,Kyoko Hikawa,4.48,8/10/2002,Hakusen Sha,1
3757,Tsubasa: RESERVoir CHRoNiCLE  Vol. 11,CLAMP/William Flanagan,4.28,10/31/2006,Del Rey,1
3758,Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,CLAMP/William Flanagan,4.28,10/26/2004,Del Rey,1
3759,Tsubasa: RESERVoir CHRoNiCLE  Vol. 1,CLAMP/Anthony Gerard,4.11,4/27/2004,Del Rey,1
3760,Tsubasa: RESERVoir CHRoNiCLE  Vol. 10,CLAMP/William Flanagan,4.29,7/25/2006,Del Rey,1
3761,Tsubasa: RESERVoir CHRoNiCLE  Vol. 8,CLAMP/William Flanagan,4.27,1/31/2006,Del Rey,1
3762,Tsubasa: RESERVoir CHRoNiCLE  Vol. 6,CLAMP/William Flanagan,4.3,7/26/2005,Del Rey,1
3763,Tsubasa: RESERVoir CHRoNiCLE  Vol. 04 (Tsubasa: RESERVoir CHRoNiCLE  #4),CLAMP/William Flanagan,4.28,1/25/2005,Del Rey Books,1
3764,Tsubasa: RESERVoir CHRoNiCLE  Vol. 09,CLAMP/William Flanagan,4.28,4/25/2006,Del Rey,1
3765,Tsubasa: RESERVoir CHRoNiCLE  Vol. 12,CLAMP/William Flanagan,4.31,1/30/2007,Del Rey,1
3766,ツバサ-RESERVoir CHRoNiCLE- 4,CLAMP,4.28,2/17/2004,講談社,1
3767,ツバサ-RESERVoir CHRoNiCLE- 6,CLAMP,4.3,6/17/2004,講談社,1
3768,ツバサ-RESERVoir CHRoNiCLE- 3,CLAMP,4.28,12/17/2003,講談社,1
3769,ツバサ-RESERVoir CHRoNiCLE- 7,CLAMP,4.29,8/17/2004,講談社,1
3770,ツバサ-RESERVoir CHRoNiCLE- 8,CLAMP,4.27,11/17/2004,講談社,1
3771,Hikaru no Go  Vol. 7: The Young Lions Tournament (Hikaru no Go  #7),Yumi Hotta/Takeshi Obata,4.26,7/5/2006,VIZ Media LLC,1
3772,Hikaru no Go  Vol. 8: The Pro Test Preliminaries: Day Four (Hikaru no Go  #8),Yumi Hotta/Takeshi Obata,4.22,11/7/2006,VIZ Media LLC,1
3773,Hikaru no Go  Vol. 1: Descent of the Go Master (Hikaru no Go  #1),Yumi Hotta/Takeshi Obata,4.1,5/19/2004,VIZ Media LLC,1
3774,Hikaru no Go  Vol. 9: The Pro Test Begins (Hikaru no Go  #9),Yumi Hotta/Takeshi Obata/Yukari Umezawa,4.27,4/3/2007,VIZ Media LLC,1
3775,Hikaru no Go  Vol. 10: Lifeline (Hikaru no Go  #10),Yumi Hotta/Takeshi Obata,4.28,8/7/2007,VIZ Media LLC,1
3776,ヒカルの碁 18、番外編,Yumi Hotta/Yumi Hotta,4.11,8/2/2002,集英社,1
3777,ヒカルの碁 23、あなたに呼びかけている,Yumi Hotta/Yumi Hotta,4.22,9/4/2003,集英社,1
3778,ヒカルの碁 7、若獅子戦,Yumi Hotta/Yumi Hotta,4.26,6/7/2000,集英社,1
3779,ヒカルの碁 15、さよなら,Yumi Hotta/Yumi Hotta,4.25,12/24/2001,集英社,1
3780,ヒカルの碁 13、プロ第一戦,Yumi Hotta/Yumi Hotta,4.26,8/8/2001,集英社,1
3781,ヒカルの碁 14、sai vs toya koyo,Yumi Hotta/Yumi Hotta,4.23,10/9/2001,集英社,1
3782,ヒカルの碁 16、中国棋院,Yumi Hotta/Yumi Hotta,4.15,3/4/2002,集英社,1
3783,ヒカルの碁 6、院生試験,Yumi Hotta/Takeshi Obata,4.22,4/9/2000,集英社,1
3784,ヒカルの碁 9、本戦開始,Yumi Hotta/Yumi Hotta,4.27,10/9/2000,集英社,1
3785,ヒカルの碁 22、打倒高永夏,Yumi Hotta/Yumi Hotta,4.21,6/4/2003,集英社,1
3786,ヒカルの碁 12、新初段シリーズ,Yumi Hotta/Yumi Hotta,4.24,5/6/2001,集英社,1
3787,Death Note  Vol. 8: Target (Death Note  #8),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,4.26,11/7/2006,VIZ Media LLC,1
3788,Death Note  Vol. 1: Boredom (Death Note  #1),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,4.43,10/10/2005,VIZ Media LLC,1
3789,Death Note  Vol. 4: Love (Death Note  #4),Tsugumi Ohba/Alexis Kirsch,4.39,3/7/2006,VIZ Media LLC,1
3790,Death Note  Vol. 5: Whiteout (Death Note  #5),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,4.34,5/2/2006,VIZ Media LLC,1
3791,Death Note  Vol. 3: Hard Run (Death Note  #3),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,4.43,1/3/2006,VIZ Media LLC,1
3792,Death Note  Vol. 2: Confluence (Death Note  #2),Tsugumi Ohba/Takeshi Obata/Pookie Rolf,4.43,11/1/2005,VIZ Media LLC,1
3793,Death Note  Vol. 6: Give-and-Take (Death Note  #6),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,4.39,7/5/2006,VIZ Media LLC,1
3794,Death Note  Vol. 7: Zero (Death Note  #7),Tsugumi Ohba/Takeshi Obata/Alexis Kirsch,4.43,9/5/2006,VIZ Media LLC,1
3795,Death Note  Vol. 9: Contact (Death Note  #9),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,4.21,1/2/2007,VIZ Media LLC,1
3796,Death Note  Vol. 10: Deletion (Death Note  #10),Tsugumi Ohba/Takeshi Obata/Tetsuichiro Miyaki,4.22,3/6/2007,VIZ Media LLC,1
3797,The Worm Ouroboros,E.R. Eddison/Keith   Henderson,3.71,4/28/2006,Dover Publications,1
3798,Mistress of Mistresses: A Vision of Zimiamvia (The Zimiamvian Trilogy  #1),E.R. Eddison/Gerald Ravenscourt Hayes/Keith   Henderson,3.64,12/12/1977,Del Rey Books,1
3799,The Mezentian Gate,E.R. Eddison,3.6,4/12/1978,Del Rey,1
3800,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,4.05,8/12/1995,Addison-Wesley Professional,1
3801,Museum of Terror  Vol. 1: Tomie 1,Junji Ito/伊藤潤二/Naomi Kokubo,4.09,8/8/2006,Dark Horse Comics,1
3802,Museum of Terror  Vol. 2: Tomie 2,Junji Ito/伊藤潤二/Naomi Kokubo,4.11,9/19/2006,Dark Horse Manga,1
3803,Museum of Terror  Vol. 3: The Long Hair in the Attic,Junji Ito/伊藤潤二,4.12,11/21/2006,Dark Horse Manga,1
3804,Tomie 1  富江,Junji Ito/伊藤潤二,3.94,4/4/2005,ComicsOne Corporation,1
3805,Tomie 2  富江 Part 2,Junji Ito/伊藤潤二,3.86,4/4/2005,ComicsOne Corporation,1
3806,Hana Yori Dango: Le jeu da la fin du monde 1 (Boys Over Flowers  #1),Yōko Kamio/神尾葉子,4.11,3/5/2003,Glénat,1
3807,Hana Yori Dango 3 (Boys Over Flowers  #3),Yōko Kamio/神尾葉子,4.12,6/18/2003,Glénat,1
3808,Hana Yori Dango 2 (Boys Over Flowers  #2),Yōko Kamio/神尾葉子,4.12,5/14/2003,Glénat,1
3809,Voices (Annals of the Western Shore  #2),Ursula K. Le Guin,3.88,9/1/2006,Harcourt,1
3810,Gifts (Annals of the Western Shore  #1),Ursula K. Le Guin,3.7,4/1/2006,Harcourt,1
3811,Lao Tzu: Tao Te Ching: A Book about the Way and the Power of the Way,Lao Tzu/Ursula K. Le Guin/J.P. Seaton,4.3,10/20/1998,Shambhala,1
3812,The Wave in the Mind: Talks and Essays on the Writer  the Reader and the Imagination,Ursula K. Le Guin,4.3,2/17/2004,Shambhala,1
3813,The Dispossessed,Ursula K. Le Guin,4.22,10/20/1994,Harper Voyager,1
3814,Five Complete Novels,Ursula K. Le Guin,4.13,9/4/1985,Random House Value Publishing,1
